Periodo,Entidad de Residencia,Defunciones por Cancer de Mama,Poblacion Femenina Total,Tasa de Mortalidad por Cancer de Mama
1990,Aguascalientes,29,159967,18.12873905
1990,Baja California,79,337917,23.37852194
1990,Baja California Sur,7,63290,11.06019908
1990,Campeche,12,108154,11.09529005
1990,Coahuila de Zaragoza,62,410228,15.11354661
1990,Colima,7,96847,7.227895547
1990,Chiapas,26,602625,4.314457581
1990,Chihuahua,93,498115,18.67038736
1990,Distrito Federal,409,2129171,19.20935425
1990,Durango,41,267146,15.34741303
1990,Guanajuato,90,884162,10.17913007
1990,Guerrero,26,597406,4.352149125
1990,Hidalgo,43,447400,9.611086276
1990,Jalisco,193,1186672,16.26397185
1990,México,194,2009827,9.652572087
1990,Michoacán de Ocampo,77,795964,9.673804343
1990,Morelos,22,300631,7.317941264
1990,Nayarit,18,173098,10.39873367
1990,Nuevo León,132,675754,19.53373565
1990,Oaxaca,36,715171,5.033761156
1990,Puebla,81,916058,8.84223488
1990,Querétaro de Arteaga,28,238573,11.73644964
1990,Quintana Roo,3,87114,3.443763345
1990,San Luis Potosí,46,444737,10.34319159
1990,Sinaloa,57,444980,12.80956447
1990,Sonora,64,385279,16.6113388
1990,Tabasco,19,302545,6.280057512
1990,Tamaulipas,80,478854,16.70655356
1990,Tlaxcala,15,165797,9.047208333
1990,Veracruz Llave,154,1426276,10.79734918
1990,Yucatán,24,306353,7.834099878
1990,Zacatecas,23,270221,8.511551656
1990,Nacional,2190,17926332,12.21666541
1991,Aguascalientes,17,166393,10.21677595
1991,Baja California,77,359646,21.409942
1991,Baja California Sur,15,66754,22.47056356
1991,Campeche,10,112580,8.882572393
1991,Coahuila de Zaragoza,69,425278,16.22468127
1991,Colima,16,100279,15.9554842
1991,Chiapas,41,622424,6.587149596
1991,Chihuahua,115,518224,22.19117602
1991,Distrito Federal,425,2176566,19.52617104
1991,Durango,35,274223,12.76333495
1991,Guanajuato,92,909116,10.1197207
1991,Guerrero,31,608782,5.092134787
1991,Hidalgo,45,458185,9.821360368
1991,Jalisco,213,1221600,17.43614931
1991,México,246,2112123,11.64704896
1991,Michoacán de Ocampo,80,812550,9.845547966
1991,Morelos,32,310329,10.311637
1991,Nayarit,17,177691,9.567169975
1991,Nuevo León,144,702866,20.4875467
1991,Oaxaca,50,728556,6.86289043
1991,Puebla,83,942466,8.806683742
1991,Querétaro de Arteaga,16,248100,6.449012495
1991,Quintana Roo,4,95137,4.204463038
1991,San Luis Potosí,44,455539,9.658887603
1991,Sinaloa,65,459879,14.13415268
1991,Sonora,62,400162,15.49372504
1991,Tabasco,24,314260,7.636988481
1991,Tamaulipas,78,496789,15.70083073
1991,Tlaxcala,13,171670,7.572668492
1991,Veracruz Llave,115,1464611,7.851914263
1991,Yucatán,31,315640,9.821315423
1991,Zacatecas,29,275502,10.52623937
1991,Nacional,2334,18503920,12.61354351
1992,Aguascalientes,20,172994,11.5610946
1992,Baja California,56,381655,14.6729376
1992,Baja California Sur,11,70377,15.63010643
1992,Campeche,17,117223,14.50227344
1992,Coahuila de Zaragoza,73,440861,16.5585071
1992,Colima,17,103704,16.39281031
1992,Chiapas,32,643598,4.972047769
1992,Chihuahua,104,539295,19.28443616
1992,Distrito Federal,454,2223013,20.42273257
1992,Durango,35,281469,12.43476191
1992,Guanajuato,96,935003,10.26734674
1992,Guerrero,28,620111,4.515320644
1992,Hidalgo,38,469605,8.091907028
1992,Jalisco,232,1256999,18.45665748
1992,México,263,2216184,11.86724568
1992,Michoacán de Ocampo,89,829119,10.73428543
1992,Morelos,39,320054,12.18544371
1992,Nayarit,19,182332,10.42055152
1992,Nuevo León,170,731193,23.24967553
1992,Oaxaca,48,742498,6.464663878
1992,Puebla,82,970185,8.451996269
1992,Querétaro de Arteaga,25,258102,9.686093095
1992,Quintana Roo,6,103497,5.797269486
1992,San Luis Potosí,72,466628,15.4298499
1992,Sinaloa,60,475061,12.62995699
1992,Sonora,80,415414,19.25789694
1992,Tabasco,29,326413,8.884450068
1992,Tamaulipas,82,516040,15.89024107
1992,Tlaxcala,15,177825,8.435259384
1992,Veracruz Llave,165,1503821,10.97205053
1992,Yucatán,42,325350,12.90917473
1992,Zacatecas,19,280909,6.763756234
1992,Nacional,2518,19096532,13.1856402
1993,Aguascalientes,17,179712,9.459579772
1993,Baja California,71,404728,17.54264593
1993,Baja California Sur,22,74137,29.67479126
1993,Campeche,9,121956,7.379710715
1993,Coahuila de Zaragoza,72,456865,15.75957887
1993,Colima,16,107121,14.93638035
1993,Chiapas,46,665399,6.913145346
1993,Chihuahua,101,560931,18.00577968
1993,Distrito Federal,490,2269198,21.59353216
1993,Durango,33,288781,11.4273446
1993,Guanajuato,112,961025,11.65422336
1993,Guerrero,47,631038,7.448045918
1993,Hidalgo,47,481031,9.77068006
1993,Jalisco,254,1292625,19.64993714
1993,México,268,2322254,11.54051193
1993,Michoacán de Ocampo,95,845413,11.23711133
1993,Morelos,37,329701,11.22228929
1993,Nayarit,19,186968,10.16216679
1993,Nuevo León,182,760282,23.93848598
1993,Oaxaca,49,756249,6.479347411
1993,Puebla,95,998197,9.517159438
1993,Querétaro de Arteaga,19,268438,7.077984488
1993,Quintana Roo,3,112320,2.670940171
1993,San Luis Potosí,58,477653,12.14270611
1993,Sinaloa,77,490393,15.70169232
1993,Sonora,77,431059,17.86298395
1993,Tabasco,31,338773,9.150670213
1993,Tamaulipas,103,535977,19.21724253
1993,Tlaxcala,19,184142,10.31812406
1993,Veracruz Llave,153,1542206,9.920853634
1993,Yucatán,29,335331,8.648171508
1993,Zacatecas,25,286272,8.732953275
1993,Nacional,2676,19696175,13.58639431
1994,Aguascalientes,32,186624,17.14677641
1994,Baja California,66,428649,15.3972131
1994,Baja California Sur,9,78043,11.5321041
1994,Campeche,9,126875,7.093596059
1994,Coahuila de Zaragoza,107,473384,22.6032143
1994,Colima,16,110626,14.4631461
1994,Chiapas,42,688338,6.101653548
1994,Chihuahua,110,583300,18.85822047
1994,Distrito Federal,475,2315447,20.51439744
1994,Durango,37,296298,12.4874282
1994,Guanajuato,126,987734,12.75647087
1994,Guerrero,51,642264,7.940659916
1994,Hidalgo,55,492916,11.15808779
1994,Jalisco,248,1329100,18.6592431
1994,México,284,2430946,11.68269472
1994,Michoacán de Ocampo,76,862060,8.816091687
1994,Morelos,30,339475,8.83717505
1994,Nayarit,37,191725,19.29847438
1994,Nuevo León,163,790334,20.6241918
1994,Oaxaca,52,770507,6.748803061
1994,Puebla,99,1026943,9.64026241
1994,Querétaro de Arteaga,30,279181,10.74571694
1994,Quintana Roo,8,121632,6.577216522
1994,San Luis Potosí,49,488850,10.0235246
1994,Sinaloa,69,506086,13.63404639
1994,Sonora,94,447096,21.02456743
1994,Tabasco,31,351579,8.817363949
1994,Tamaulipas,85,556741,15.26742237
1994,Tlaxcala,24,190661,12.5877867
1994,Veracruz Llave,163,1580940,10.31032171
1994,Yucatán,34,345665,9.836113
1994,Zacatecas,28,291791,9.595909401
1994,Nacional,2739,20311810,13.48476576
1995,Aguascalientes,31,193720,16.0024778
1995,Baja California,81,453419,17.86427124
1995,Baja California Sur,14,82097,17.05299828
1995,Campeche,11,131966,8.335480351
1995,Coahuila de Zaragoza,90,490404,18.35221572
1995,Colima,17,114227,14.88264596
1995,Chiapas,43,712394,6.035985705
1995,Chihuahua,119,606337,19.62604954
1995,Distrito Federal,496,2361910,20.99995343
1995,Durango,35,304036,11.51179466
1995,Guanajuato,130,1015348,12.803492
1995,Guerrero,41,653925,6.269832167
1995,Hidalgo,45,505358,8.904578536
1995,Jalisco,281,1366520,20.56318239
1995,México,312,2541917,12.27420093
1995,Michoacán de Ocampo,116,879359,13.19142694
1995,Morelos,40,349515,11.44443014
1995,Nayarit,40,196643,20.34143092
1995,Nuevo León,199,821260,24.23105959
1995,Oaxaca,45,785403,5.729542668
1995,Puebla,103,1056695,9.747372705
1995,Querétaro de Arteaga,35,290383,12.05304718
1995,Quintana Roo,6,131434,4.565028836
1995,San Luis Potosí,67,500318,13.39148302
1995,Sinaloa,85,522185,16.27775597
1995,Sonora,77,463585,16.60968323
1995,Tabasco,23,364841,6.30411604
1995,Tamaulipas,116,578342,20.05733632
1995,Tlaxcala,16,197446,8.103481458
1995,Veracruz Llave,201,1620218,12.40573799
1995,Yucatán,29,356311,8.138957259
1995,Zacatecas,36,297496,12.10100304
1995,Nacional,2980,20945012,14.22773117
1996,Aguascalientes,41,200967,20.40135943
1996,Baja California,79,479021,16.49197008
1996,Baja California Sur,12,86313,13.90288833
1996,Campeche,8,137172,5.832094013
1996,Coahuila de Zaragoza,106,507827,20.87325014
1996,Colima,14,117871,11.87739139
1996,Chiapas,79,737309,10.71463932
1996,Chihuahua,124,629925,19.68488312
1996,Distrito Federal,478,2408440,19.84687183
1996,Durango,45,311919,14.42682235
1996,Guanajuato,131,1043522,12.55364046
1996,Guerrero,39,665767,5.857905243
1996,Hidalgo,56,518188,10.80688862
1996,Jalisco,256,1404633,18.22540123
1996,México,327,2654535,12.31854167
1996,Michoacán de Ocampo,109,896979,12.15190099
1996,Morelos,47,359676,13.06731614
1996,Nayarit,33,201616,16.36774859
1996,Nuevo León,183,852925,21.45557933
1996,Oaxaca,49,800717,6.119515384
1996,Puebla,116,1087333,10.66830493
1996,Querétaro de Arteaga,40,302017,13.24428757
1996,Quintana Roo,8,141765,5.643141819
1996,San Luis Potosí,67,511974,13.08660205
1996,Sinaloa,83,538550,15.41175378
1996,Sonora,107,480476,22.26958266
1996,Tabasco,41,378499,10.83226112
1996,Tamaulipas,108,600630,17.98111982
1996,Tlaxcala,20,204474,9.781194675
1996,Veracruz Llave,177,1659520,10.66573467
1996,Yucatán,35,367275,9.529644
1996,Zacatecas,47,303260,15.49825232
1996,Nacional,3065,21591095,14.19566724
1997,Aguascalientes,42,208335,20.15983872
1997,Baja California,67,505161,13.2630983
1997,Baja California Sur,14,90696,15.43618241
1997,Campeche,16,142516,11.22680962
1997,Coahuila de Zaragoza,98,525586,18.64585434
1997,Colima,24,121593,19.73797834
1997,Chiapas,62,762850,8.127416923
1997,Chihuahua,104,653899,15.90459689
1997,Distrito Federal,557,2454825,22.69000845
1997,Durango,40,319772,12.5089126
1997,Guanajuato,132,1072034,12.31304231
1997,Guerrero,63,677575,9.297863705
1997,Hidalgo,55,531303,10.35190842
1997,Jalisco,285,1443180,19.74805638
1997,México,328,2768096,11.84930002
1997,Michoacán de Ocampo,112,914567,12.24623237
1997,Morelos,37,369826,10.00470492
1997,Nayarit,25,206651,12.09769128
1997,Nuevo León,198,885201,22.36780121
1997,Oaxaca,69,816303,8.45274365
1997,Puebla,111,1118772,9.921592603
1997,Querétaro de Arteaga,37,314024,11.78253891
1997,Quintana Roo,7,152582,4.587697107
1997,San Luis Potosí,44,523586,8.403586039
1997,Sinaloa,93,555063,16.75485485
1997,Sonora,107,497652,21.50096855
1997,Tabasco,36,392465,9.172792478
1997,Tamaulipas,124,623558,19.8858807
1997,Tlaxcala,27,211717,12.75287294
1997,Veracruz Llave,176,1698257,10.36356688
1997,Yucatán,53,378596,13.99909138
1997,Zacatecas,38,309006,12.29749584
1997,Nacional,3181,22245247,14.29968388
1998,Aguascalientes,34,215823,15.75364998
1998,Baja California,73,531740,13.72851394
1998,Baja California Sur,6,95222,6.30106488
1998,Campeche,13,148023,8.782418948
1998,Coahuila de Zaragoza,128,543607,23.54642232
1998,Colima,30,125384,23.9264978
1998,Chiapas,53,789038,6.717040244
1998,Chihuahua,141,678222,20.78965295
1998,Distrito Federal,529,2500847,21.15283342
1998,Durango,33,327670,10.07110813
1998,Guanajuato,138,1101180,12.53201112
1998,Guerrero,55,689552,7.976193239
1998,Hidalgo,60,544867,11.01186161
1998,Jalisco,282,1482165,19.02622178
1998,México,358,2882152,12.4212741
1998,Michoacán de Ocampo,116,932453,12.4403053
1998,Morelos,51,380069,13.41861609
1998,Nayarit,16,211780,7.555009916
1998,Nuevo León,190,917951,20.69827257
1998,Oaxaca,78,832330,9.371283025
1998,Puebla,127,1151024,11.03365351
1998,Querétaro de Arteaga,36,326429,11.02843191
1998,Quintana Roo,12,163908,7.321180174
1998,San Luis Potosí,78,535270,14.57208512
1998,Sinaloa,120,571764,20.98768023
1998,Sonora,98,515170,19.02284683
1998,Tabasco,46,406695,11.31068737
1998,Tamaulipas,141,647141,21.788142
1998,Tlaxcala,29,219189,13.23059095
1998,Veracruz Llave,184,1736422,10.59650246
1998,Yucatán,50,390219,12.81331765
1998,Zacatecas,41,314805,13.02393545
1998,Nacional,3346,22908111,14.60618032
1999,Aguascalientes,31,223247,13.88596487
1999,Baja California,107,558835,19.1469754
1999,Baja California Sur,10,99906,10.00940884
1999,Campeche,13,153598,8.46365187
1999,Coahuila de Zaragoza,126,561689,22.43234245
1999,Colima,15,128999,11.62799712
1999,Chiapas,75,816323,9.187539736
1999,Chihuahua,145,702412,20.6431553
1999,Distrito Federal,533,2545992,20.93486547
1999,Durango,44,334960,13.13589682
1999,Guanajuato,136,1130326,12.03192707
1999,Guerrero,49,700993,6.990084066
1999,Hidalgo,63,558390,11.28243701
1999,Jalisco,282,1518998,18.56486974
1999,México,390,2995036,13.02154632
1999,Michoacán de Ocampo,126,948883,13.27877093
1999,Morelos,47,389733,12.0595382
1999,Nayarit,36,216523,16.6264092
1999,Nuevo León,213,950596,22.40699519
1999,Oaxaca,56,849410,6.592811481
1999,Puebla,114,1184392,9.62519166
1999,Querétaro de Arteaga,48,339368,14.14393814
1999,Quintana Roo,8,175819,4.550133945
1999,San Luis Potosí,77,546238,14.09641951
1999,Sinaloa,79,587971,13.43603681
1999,Sonora,110,532928,20.64068692
1999,Tabasco,38,421279,9.020150542
1999,Tamaulipas,107,671163,15.94247597
1999,Tlaxcala,32,227044,14.09418439
1999,Veracruz Llave,180,1773139,10.15148841
1999,Yucatán,31,402136,7.708834822
1999,Zacatecas,61,319807,19.07400401
1999,Nacional,3382,23566133,14.35110292
2000,Aguascalientes,36,230573,15.61327649
2000,Baja California,98,586024,16.72286459
2000,Baja California Sur,20,104610,19.11863111
2000,Campeche,10,159248,6.279513714
2000,Coahuila de Zaragoza,114,579769,19.66300371
2000,Colima,17,132736,12.80737705
2000,Chiapas,53,843207,6.285526567
2000,Chihuahua,152,726968,20.90876077
2000,Distrito Federal,575,2590198,22.19907513
2000,Durango,48,342630,14.00928115
2000,Guanajuato,123,1157435,10.62694665
2000,Guerrero,58,712226,8.143482546
2000,Hidalgo,61,571652,10.67082771
2000,Jalisco,290,1557045,18.62502368
2000,México,368,3107417,11.84263329
2000,Michoacán de Ocampo,126,965399,13.05159835
2000,Morelos,39,399529,9.761494159
2000,Nayarit,36,221523,16.25113419
2000,Nuevo León,214,983790,21.7526098
2000,Oaxaca,65,864060,7.522625744
2000,Puebla,117,1215674,9.624290723
2000,Querétaro de Arteaga,35,351859,9.947166337
2000,Quintana Roo,14,188028,7.445699577
2000,San Luis Potosí,56,557187,10.05048574
2000,Sinaloa,93,604484,15.3850226
2000,Sonora,109,550178,19.81177001
2000,Tabasco,39,435896,8.947088296
2000,Tamaulipas,122,695792,17.53397567
2000,Tlaxcala,15,234579,6.394434284
2000,Veracruz Llave,220,1807521,12.1713662
2000,Yucatán,52,414023,12.55968871
2000,Zacatecas,44,325097,13.53442203
2000,Nacional,3419,24216357,14.11855631
2001,Aguascalientes,31,238074,13.02116149
2001,Baja California,102,613172,16.63481046
2001,Baja California Sur,19,109517,17.34890474
2001,Campeche,13,165082,7.874874305
2001,Coahuila de Zaragoza,120,597875,20.07108509
2001,Colima,22,136814,16.08022571
2001,Chiapas,54,870012,6.206810941
2001,Chihuahua,140,751913,18.61917536
2001,Distrito Federal,567,2632637,21.5373407
2001,Durango,49,351275,13.94918511
2001,Guanajuato,135,1184366,11.3985035
2001,Guerrero,62,724253,8.560544451
2001,Hidalgo,68,585546,11.61309274
2001,Jalisco,280,1598711,17.5141098
2001,México,455,3221639,14.12324596
2001,Michoacán de Ocampo,132,984160,13.41245326
2001,Morelos,44,410146,10.72788714
2001,Nayarit,27,227288,11.87920172
2001,Nuevo León,187,1017909,18.37099387
2001,Oaxaca,68,877043,7.753325664
2001,Puebla,146,1245753,11.71981926
2001,Querétaro de Arteaga,48,364106,13.18297419
2001,Quintana Roo,12,200575,5.982799452
2001,San Luis Potosí,73,569031,12.82882655
2001,Sinaloa,77,621777,12.38386109
2001,Sonora,103,567290,18.15649844
2001,Tabasco,54,450589,11.98431386
2001,Tamaulipas,141,720757,19.56276526
2001,Tlaxcala,27,241866,11.16320607
2001,Veracruz Llave,215,1841792,11.67341372
2001,Yucatán,45,426025,10.5627604
2001,Zacatecas,47,331443,14.18041715
2001,Nacional,3563,24878436,14.32163983
